"module","model","field","field_description","ttype","required","relation"
"delivery","stock.picking",,"Volume","float","False",""
"delivery","stock.picking",,"Weight for Shipping","float","False",""
"delivery","stock.picking",,"Weight","float","False",""
"delivery","stock.picking",,"Unit of Measure","many2one","False","uom.uom"
"delivery","stock.picking",,"Bulk Weight","float","False",""
"delivery","stock.picking",,"Packages","many2many","False","stock.quant.package"
"delivery","stock.picking",,"Shipping Cost","float","False",""
"delivery","stock.picking",,"Carrier","many2one","False","delivery.carrier"
"delivery","stock.picking",,"Tracking Reference","char","False",""
"delivery","stock.picking",,"Provider","selection","False",""
"delivery","stock.picking",,"Tracking URL","char","False",""
"delivery_barcode","stock.picking",,"Delivery Packaging","one2many","False","product.packaging"
"serial_num","stock.picking",,"Lot/Serial Number","many2one","False","stock.production.lot"
"tradeline_custom_extend","stock.picking",,"Type of Operation","selection","False",""
"tradeline_dest_location_domain","stock.picking",,"Destination Location","many2one","True","stock.location"
"tradeline_domain_operation_type_users","stock.picking",,"User","many2one","False","res.users"
"tradeline_invoice_in_picking","stock.picking",,"Invoice","many2one","False","account.invoice"
"tradeline_pos_error_transfer","stock.picking",,"Is From Pos","boolean","False",""
"tradeline_return_approval","stock.picking",,"Status","selection","False",""
"tradeline_return_approval","stock.picking",,"Is_return","boolean","False",""
"tradeline_return_approval","stock.picking",,"Approvals","many2one","False","res.users"
"tradeline_return_picking","stock.picking",,"Check_type","boolean","False",""
"tradeline_scrap_picking","stock.picking",,"Check_type","boolean","False",""
"tradeline_security_picking_branch","stock.picking",,"Is_delivary","boolean","False",""
"tradeline_stock_picking_team","stock.picking",,"Store","many2one","False","crm.team"
"tradeline_stock_scrap_custom","stock.picking",,"witting For Approve","boolean","False",""
"tradeline_stock_scrap_custom","stock.picking",,"Request Scrap","boolean","False",""
"tradeline_stock_scrap_custom","stock.picking",,"Approve","boolean","False",""
"tradeline_transfer_customization","stock.picking",,"Return Method","selection","False",""
"tradeline_transfer_customization","stock.picking",,"Serial Exel Sheet","binary","False",""
"tradeline_transfer_customization","stock.picking",,"Notes","text","False",""
"tradeline_transfer_customization","stock.picking",,"Download report Excel","binary","False",""
"tradeline_transfer_customization","stock.picking",,"Excel File","char","False",""
"tradeline_transfer_set_to_refund","stock.picking",,"is ","boolean","False",""
"tradeline_transfer_set_to_refund","stock.picking",,"is ","boolean","False",""
"tradeline_unreserved_picking","stock.picking",,"check_unreserved","boolean","False",""
