"module","model","name","field_description","ttype","relation"
"Tradeline_Notes_Product","account.invoice","Product_Notes","Product Notes","char",""
"Tradeline_Notes_Product","product.product","Product_Notes","Product Notes","char",""
"Tradeline_Notes_Product","product.template","Product_Notes","Product Notes","char",""
"access_restriction_by_ip","log.table","serial_number","Serial Number","char",""
"account_batch_payment","report.account_batch_payment.print_batch_payment","__last_update","Last Modified on","datetime",""
"account_batch_payment","report.account_batch_payment.print_batch_payment","display_name","Display Name","char",""
"account_batch_payment","report.account_batch_payment.print_batch_payment","id","ID","integer",""
"account_invoice_barcode","account.invoice","barcode","Barcode","char",""
"check_management","account.bank.statement.import.journal.creation","is_notes_receivable","Is Notes Receivable","boolean",""
"check_management","account.bank.statement.import.journal.creation","notes_payable","Notes Payable","many2one","account.account"
"check_management","account.journal","is_notes_receivable","Is Notes Receivable","boolean",""
"check_management","account.journal","notes_payable","Notes Payable","many2one","account.account"
"check_management","account.payment","refund_notes_date","Refund Under Collection Date","date",""
"custom_e_invoice_date","account.invoice","send_today_for_einv","Send Today for e-invoice Date","boolean",""
"custom_opportunity","account.invoice.line","opportunity_id","Opportunity","many2one","crm.lead"
"custom_reporting","account.invoice","customer_mobile","Customer mobile","char",""
"delivery","sale.order","invoice_shipping_on_delivery","Invoice Shipping on Delivery","boolean",""
"eg_eta_receipt","account.invoice","qr_code_image","QR Code","binary",""
"eg_eta_receipt","pos.order","e_invoice_canonical","E_invoice Canonical","text",""
"eg_eta_receipt","pos.order","e_invoice_invalid","E Invoice Invalid","boolean",""
"eg_eta_receipt","pos.order","e_invoice_json","E_invoice JSON","text",""
"eg_eta_receipt","pos.order","e_invoice_sent","E-Invoice Informed","boolean",""
"eg_eta_receipt","pos.order","e_invoice_submitted","E Invoice Submitted","boolean",""
"eg_eta_receipt","pos.order","e_invoice_valid","E Invoice Valid","boolean",""
"eg_eta_receipt","pos.order","electronic_invoice_date","E-Invoice Date","datetime",""
"eg_eta_receipt","pos.order","electronic_invoice_file","E-Invoice PDF","many2one","ir.attachment"
"eg_eta_receipt","pos.order","electronic_invoice_pdf","E-Invoice PDF","binary",""
"eg_eta_receipt","pos.order","electronic_invoice_status","E-Invoice Status","char",""
"eg_eta_receipt","pos.order","electronic_invoice_url","Electronic Invoice","char",""
"eg_eta_receipt","pos.order","electronic_invoice_uuid","E-Invoice ID","char",""
"eg_eta_receipt","res.users","deviceSerialNumber","Deviceserialnumber","char",""
"globalteckz_shopify","account.invoice","gt_shopify_invoice","Shopify Invoice","boolean",""
"globalteckz_shopify","gt.import.order.workflow","create_invoice","Create Invoice","boolean",""
"globalteckz_shopify","gt.import.order.workflow","invoice_policy","Invoicing Policy","selection",""
"globalteckz_shopify","gt.import.order.workflow","validate_invoice","Validate Invoice","boolean",""
"globalteckz_shopify","gt.inventory.management","__last_update","Last Modified on","datetime",""
"globalteckz_shopify","gt.inventory.management","create_date","Created on","datetime",""
"globalteckz_shopify","gt.inventory.management","create_uid","Created by","many2one","res.users"
"globalteckz_shopify","gt.inventory.management","display_name","Display Name","char",""
"globalteckz_shopify","gt.inventory.management","gt_shopify_instance_id","Shopify Instance","many2one","gt.shopify.instance"
"globalteckz_shopify","gt.inventory.management","id","ID","integer",""
"globalteckz_shopify","gt.inventory.management","name","Inventory Management","char",""
"globalteckz_shopify","gt.inventory.management","write_date","Last Updated on","datetime",""
"globalteckz_shopify","gt.inventory.management","write_uid","Last Updated by","many2one","res.users"
"globalteckz_shopify","gt.inventory.policy","__last_update","Last Modified on","datetime",""
"globalteckz_shopify","gt.inventory.policy","create_date","Created on","datetime",""
"globalteckz_shopify","gt.inventory.policy","create_uid","Created by","many2one","res.users"
"globalteckz_shopify","gt.inventory.policy","display_name","Display Name","char",""
"globalteckz_shopify","gt.inventory.policy","gt_shopify_instance_id","Shopify Instance","many2one","gt.shopify.instance"
"globalteckz_shopify","gt.inventory.policy","id","ID","integer",""
"globalteckz_shopify","gt.inventory.policy","name","Inventory Policy","char",""
"globalteckz_shopify","gt.inventory.policy","write_date","Last Updated on","datetime",""
"globalteckz_shopify","gt.inventory.policy","write_uid","Last Updated by","many2one","res.users"
"globalteckz_shopify","res.partner","gt_customer_note","Note","text",""
"globalteckz_shopify","res.users","gt_customer_note","Note","text",""
"mass_mailing","account.invoice.send","mailing_list_ids","Mailing List","many2many","mail.mass_mailing.list"
"mass_mailing","account.invoice.send","mass_mailing_campaign_id","Mass Mailing Campaign","many2one","mail.mass_mailing.campaign"
"mass_mailing","account.invoice.send","mass_mailing_id","Mass Mailing","many2one","mail.mass_mailing"
"mass_mailing","account.invoice.send","mass_mailing_name","Mass Mailing Name","char",""
"mass_mailing","mail.statistics.report","__last_update","Last Modified on","datetime",""
"mass_mailing","mail.statistics.report","bounced","Bounced","integer",""
"mass_mailing","mail.statistics.report","campaign","Mass Mail Campaign","char",""
"mass_mailing","mail.statistics.report","clicked","Clicked","integer",""
"mass_mailing","mail.statistics.report","delivered","Delivered","integer",""
"mass_mailing","mail.statistics.report","display_name","Display Name","char",""
"mass_mailing","mail.statistics.report","email_from","From","char",""
"mass_mailing","mail.statistics.report","id","ID","integer",""
"mass_mailing","mail.statistics.report","name","Mass Mail","char",""
"mass_mailing","mail.statistics.report","opened","Opened","integer",""
"mass_mailing","mail.statistics.report","replied","Replied","integer",""
"mass_mailing","mail.statistics.report","scheduled_date","Scheduled Date","datetime",""
"mass_mailing","mail.statistics.report","sent","Sent","integer",""
"mass_mailing","mail.statistics.report","state","Status","selection",""
"odoo_invoice_connector","account.invoice","document_ref_id","Document Ref","integer",""
"odoo_invoice_connector","account.invoice","e_invoice_po","PO Ref.","char",""
"odoo_invoice_connector","account.tax","is_t1","T1","boolean",""
"odoo_invoice_connector","account.tax","is_t2","T2","boolean",""
"odoo_invoice_connector","account.tax","is_t3","T3","boolean",""
"odoo_invoice_connector","account.tax","is_t4","T4","boolean",""
"odoo_invoice_connector","account.tax","is_t5","T5","boolean",""
"odoo_invoice_connector","account.tax","sub_type","SubType","char",""
"odoo_invoice_connector","account.tax","tax_type","Tax Type","selection",""
"odoo_invoice_connector","document","DateTimeIssued","DateTimeIssued","datetime",""
"odoo_invoice_connector","document","Delivery_Approach","Delivery_Approach","char",""
"odoo_invoice_connector","document","Delivery_CountryOfOrigin","Delivery_CountryOfOrigin","char",""
"odoo_invoice_connector","document","Delivery_DateValidity","Delivery_DateValidity","datetime",""
"odoo_invoice_connector","document","Delivery_ExportPort","Delivery_ExportPort","char",""
"odoo_invoice_connector","document","Delivery_GrossWeight","Delivery_GrossWeight","float",""
"odoo_invoice_connector","document","Delivery_NetWeight","Delivery_NetWeight","float",""
"odoo_invoice_connector","document","Delivery_Packaging","Delivery_Packaging","char",""
"odoo_invoice_connector","document","Delivery_Terms","Delivery_Terms","char",""
"odoo_invoice_connector","document","DocumentType","DocumentType","char",""
"odoo_invoice_connector","document","DocumentTypeVersion","DocumentTypeVersion","char",""
"odoo_invoice_connector","document","Document_ReferenceID","Document_ReferenceID","integer",""
"odoo_invoice_connector","document","ExtraDiscountAmount","ExtraDiscountAmount","float",""
"odoo_invoice_connector","document","InternalID","InternalID","char",""
"odoo_invoice_connector","document","InternalLastUpdatedDate","InternalLastUpdatedDate","datetime",""
"odoo_invoice_connector","document","IssuerType","IssuerType","selection",""
"odoo_invoice_connector","document","NetAmount","NetAmount","float",""
"odoo_invoice_connector","document","Payment_BankAccountIBAN","Payment_BankAccountIBAN","char",""
"odoo_invoice_connector","document","Payment_BankAccountNumber","Payment_BankAccountNumber","char",""
"odoo_invoice_connector","document","Payment_BankAddress","Payment_BankAddress","char",""
"odoo_invoice_connector","document","Payment_BankName","Payment_BankName","char",""
"odoo_invoice_connector","document","Payment_SwiftCode","Payment_SwiftCode","char",""
"odoo_invoice_connector","document","Payment_Terms","Payment_Terms","char",""
"odoo_invoice_connector","document","ProformaInvoiceNumber","ProformaInvoiceNumber","char",""
"odoo_invoice_connector","document","PurchaseOrderDescription","PurchaseOrderDescription","char",""
"odoo_invoice_connector","document","PurchaseOrderReference","PurchaseOrderReference","char",""
"odoo_invoice_connector","document","RecipientAddress_AdditionalInformation","RecipientAddress_AdditionalInformation","char",""
"odoo_invoice_connector","document","RecipientAddress_BuildingNumber","RecipientAddress_BuildingNumber","char",""
"odoo_invoice_connector","document","RecipientAddress_CityRegion","RecipientAddress_CityRegion","char",""
"odoo_invoice_connector","document","RecipientAddress_Country","RecipientAddress_Country","char",""
"odoo_invoice_connector","document","RecipientAddress_Floor","RecipientAddress_Floor","char",""
"odoo_invoice_connector","document","RecipientAddress_Governate","RecipientAddress_Governate","char",""
"odoo_invoice_connector","document","RecipientAddress_Landmark","RecipientAddress_Landmark","char",""
"odoo_invoice_connector","document","RecipientAddress_PostalCode","RecipientAddress_PostalCode","char",""
"odoo_invoice_connector","document","RecipientAddress_Room","RecipientAddress_Room","char",""
"odoo_invoice_connector","document","RecipientAddress_Street1","RecipientAddress_Street1","char",""
"odoo_invoice_connector","document","RecipientID","RecipientID","char",""
"odoo_invoice_connector","document","RecipientName","RecipientName","char",""
"odoo_invoice_connector","document","RecipientType","RecipientType","char",""
"odoo_invoice_connector","document","SalesOrderDescription","SalesOrderDescription","char",""
"odoo_invoice_connector","document","SalesOrderReference","SalesOrderReference","char",""
"odoo_invoice_connector","document","Submitted","Submitted","boolean",""
"odoo_invoice_connector","document","SubmitterAddress_AdditionalInformation","SubmitterAddress_AdditionalInformation","char",""
"odoo_invoice_connector","document","SubmitterAddress_BranchID","SubmitterAddress_BranchID","char",""
"odoo_invoice_connector","document","SubmitterAddress_BuildingNumber","SubmitterAddress_BuildingNumber","char",""
"odoo_invoice_connector","document","SubmitterAddress_CityRegion","SubmitterAddress_CityRegion","char",""
"odoo_invoice_connector","document","SubmitterAddress_Country","SubmitterAddress_Country","char",""
"odoo_invoice_connector","document","SubmitterAddress_Floor","SubmitterAddress_Floor","char",""
"odoo_invoice_connector","document","SubmitterAddress_Landmark","SubmitterAddress_Landmark","char",""
"odoo_invoice_connector","document","SubmitterAddress_PostalCode","SubmitterAddress_PostalCode","char",""
"odoo_invoice_connector","document","SubmitterAddress_Room","SubmitterAddress_Room","char",""
"odoo_invoice_connector","document","SubmitterAddress_Street1","SubmitterAddress_Street1","char",""
"odoo_invoice_connector","document","SubmitterAddress_governate","SubmitterAddress_governate","char",""
"odoo_invoice_connector","document","SubmitterID","SubmitterID","char",""
"odoo_invoice_connector","document","SubmitterName","SubmitterName","char",""
"odoo_invoice_connector","document","TaxTotals","TaxTotals","float",""
"odoo_invoice_connector","document","TaxpayerActivityCodeString","TaxpayerActivityCodeString","char",""
"odoo_invoice_connector","document","TotalDiscountAmount","TotalDiscountAmount","float",""
"odoo_invoice_connector","document","TotalInvoiceAmount","TotalInvoiceAmount","float",""
"odoo_invoice_connector","document","TotalItemsDiscountAmount","TotalItemsDiscountAmount","float",""
"odoo_invoice_connector","document","TotalSalesAmount","TotalSalesAmount","float",""
"odoo_invoice_connector","document","TrailNo","TrailNo","integer",""
"odoo_invoice_connector","document","__last_update","Last Modified on","datetime",""
"odoo_invoice_connector","document","branch_id","Branch","many2one","res.users"
"odoo_invoice_connector","document","company_id","Company","many2one","res.company"
"odoo_invoice_connector","document","create_date","Created on","datetime",""
"odoo_invoice_connector","document","create_uid","Created by","many2one","res.users"
"odoo_invoice_connector","document","display_name","Display Name","char",""
"odoo_invoice_connector","document","id","ID","integer",""
"odoo_invoice_connector","document","invoice_date","Invoice Date","date",""
"odoo_invoice_connector","document","invoice_id","Invoice","many2one","account.invoice"
"odoo_invoice_connector","document","origin","Origin","char",""
"odoo_invoice_connector","document","partner_id","Partner","many2one","res.partner"
"odoo_invoice_connector","document","result","Result","char",""
"odoo_invoice_connector","document","status","Tax Portal Status","char",""
"odoo_invoice_connector","document","store_id","Store","many2one","crm.team"
"odoo_invoice_connector","document","tax_ids","Document Taxes","one2many","document.tax.total"
"odoo_invoice_connector","document","type","Type","char",""
"odoo_invoice_connector","document","write_date","Last Updated on","datetime",""
"odoo_invoice_connector","document","write_uid","Last Updated by","many2one","res.users"
"odoo_invoice_connector","document.line","Description","Description","char",""
"odoo_invoice_connector","document.line","DiscountAmount","DiscountAmount","float",""
"odoo_invoice_connector","document.line","DiscountRate","DiscountRate","float",""
"odoo_invoice_connector","document.line","Document_ReferenceID","Document_ReferenceID","integer",""
"odoo_invoice_connector","document.line","InternalCode","InternalCode","char",""
"odoo_invoice_connector","document.line","InternalID","InternalID","char",""
"odoo_invoice_connector","document.line","ItemCode","ItemCode","char",""
"odoo_invoice_connector","document.line","ItemsDiscount","ItemsDiscount","float",""
"odoo_invoice_connector","document.line","Line_ReferenceID","Line_ReferenceID","char",""
"odoo_invoice_connector","document.line","NetTotal","NetTotal","float",""
"odoo_invoice_connector","document.line","Quantity","Quantity","float",""
"odoo_invoice_connector","document.line","Salestotal","Salestotal","float",""
"odoo_invoice_connector","document.line","Submitted","Submitted","boolean",""
"odoo_invoice_connector","document.line","Total","Total","float",""
"odoo_invoice_connector","document.line","TotalInvoiceAmount","TotalInvoiceAmount","float",""
"odoo_invoice_connector","document.line","TotalTaxableFees","TotalTaxableFees","float",""
"odoo_invoice_connector","document.line","TrailNo","TrailNo","integer",""
"odoo_invoice_connector","document.line","UnitType","UnitType","char",""
"odoo_invoice_connector","document.line","UnitValueAmountEGP","Unitvalueamountegp","float",""
"odoo_invoice_connector","document.line","UnitValueAmountSold","UnitValueAmountSold","float",""
"odoo_invoice_connector","document.line","UnitValueCurrencySold","UnitValueCurrencySold","char",""
"odoo_invoice_connector","document.line","UnitValueExchangeRate","UnitValueExchangeRate","float",""
"odoo_invoice_connector","document.line","ValueDifference","ValueDifference","float",""
"odoo_invoice_connector","document.line","__last_update","Last Modified on","datetime",""
"odoo_invoice_connector","document.line","create_date","Created on","datetime",""
"odoo_invoice_connector","document.line","create_uid","Created by","many2one","res.users"
"odoo_invoice_connector","document.line","display_name","Display Name","char",""
"odoo_invoice_connector","document.line","id","ID","integer",""
"odoo_invoice_connector","document.line","invoice_id","Invoice","many2one","account.invoice"
"odoo_invoice_connector","document.line","itemType","itemType","selection",""
"odoo_invoice_connector","document.line","product_id","Product","many2one","product.product"
"odoo_invoice_connector","document.line","tax_ids","Taxes","one2many","document.line.taxable.items"
"odoo_invoice_connector","document.line","uom_id","UOM","many2one","uom.uom"
"odoo_invoice_connector","document.line","write_date","Last Updated on","datetime",""
"odoo_invoice_connector","document.line","write_uid","Last Updated by","many2one","res.users"
"odoo_invoice_connector","document.line.taxable.items","Amount","Amount","float",""
"odoo_invoice_connector","document.line.taxable.items","Line_ReferenceID","Line_ReferenceID","char",""
"odoo_invoice_connector","document.line.taxable.items","Rate","Rate","float",""
"odoo_invoice_connector","document.line.taxable.items","SubType","SubType","char",""
"odoo_invoice_connector","document.line.taxable.items","TaxType","TaxType","char",""
"odoo_invoice_connector","document.line.taxable.items","__last_update","Last Modified on","datetime",""
"odoo_invoice_connector","document.line.taxable.items","create_date","Created on","datetime",""
"odoo_invoice_connector","document.line.taxable.items","create_uid","Created by","many2one","res.users"
"odoo_invoice_connector","document.line.taxable.items","display_name","Display Name","char",""
"odoo_invoice_connector","document.line.taxable.items","id","ID","integer",""
"odoo_invoice_connector","document.line.taxable.items","line_id","Document Line","many2one","document.line"
"odoo_invoice_connector","document.line.taxable.items","write_date","Last Updated on","datetime",""
"odoo_invoice_connector","document.line.taxable.items","write_uid","Last Updated by","many2one","res.users"
"odoo_invoice_connector","document.status","DocumentID","DocumentID","integer",""
"odoo_invoice_connector","document.status","DocumentUUID","DocumentUUID","char",""
"odoo_invoice_connector","document.status","Id","Id","integer",""
"odoo_invoice_connector","document.status","ProcessingResult","ProcessingResult","char",""
"odoo_invoice_connector","document.status","ReferenceId","ReferenceId","integer",""
"odoo_invoice_connector","document.status","Status","Status","char",""
"odoo_invoice_connector","document.status","SubmissionID","SubmissionID","char",""
"odoo_invoice_connector","document.status","__last_update","Last Modified on","datetime",""
"odoo_invoice_connector","document.status","create_date","Created on","datetime",""
"odoo_invoice_connector","document.status","create_uid","Created by","many2one","res.users"
"odoo_invoice_connector","document.status","display_name","Display Name","char",""
"odoo_invoice_connector","document.status","id","ID","integer",""
"odoo_invoice_connector","document.status","write_date","Last Updated on","datetime",""
"odoo_invoice_connector","document.status","write_uid","Last Updated by","many2one","res.users"
"odoo_invoice_connector","document.tax.total","Amount","Amount","float",""
"odoo_invoice_connector","document.tax.total","Document_ReferenceID","Document_ReferenceID","integer",""
"odoo_invoice_connector","document.tax.total","TaxType","TaxType","char",""
"odoo_invoice_connector","document.tax.total","__last_update","Last Modified on","datetime",""
"odoo_invoice_connector","document.tax.total","create_date","Created on","datetime",""
"odoo_invoice_connector","document.tax.total","create_uid","Created by","many2one","res.users"
"odoo_invoice_connector","document.tax.total","display_name","Display Name","char",""
"odoo_invoice_connector","document.tax.total","document_id","Document","many2one","document"
"odoo_invoice_connector","document.tax.total","id","ID","integer",""
"odoo_invoice_connector","document.tax.total","write_date","Last Updated on","datetime",""
"odoo_invoice_connector","document.tax.total","write_uid","Last Updated by","many2one","res.users"
"odoo_invoice_connector","res.company","branch_number","Branch Number","char",""
"odoo_invoice_connector","res.company","building_number","Building Number","char",""
"odoo_invoice_connector","res.company","tax_payer_activity_code","TaxpayerActivityCodeString","char",""
"odoo_invoice_connector","res.partner","building_number","Building Number","char",""
"odoo_invoice_connector","res.partner","customer_type","Customer Type","selection",""
"odoo_invoice_connector","res.partner","is_foreigner","Is Foreigner?","boolean",""
"odoo_invoice_connector","res.partner","national_id","National ID","char",""
"odoo_invoice_connector","res.partner","passport_no","Passport No.","char",""
"odoo_invoice_connector","res.users","building_number","Building Number","char",""
"odoo_invoice_connector","res.users","customer_type","Customer Type","selection",""
"odoo_invoice_connector","res.users","is_foreigner","Is Foreigner?","boolean",""
"odoo_invoice_connector","res.users","national_id","National ID","char",""
"odoo_invoice_connector","res.users","passport_no","Passport No.","char",""
"odoo_invoice_connector","uom.uom","code","Code","char",""
"pos_check","account.bank.statement.line","mobile_serial","Mobile Serial","char",""
"pos_check","pos.make.payment","mobile_serial","Mobile Serial","char",""
"pos_custom","pos.order","gift_invoice","Gift Invoice","boolean",""
"product_qty_sold_and_qty_sales_rep_exel_report","product.sale.rep.wizard","__last_update","Last Modified on","datetime",""
"product_qty_sold_and_qty_sales_rep_exel_report","product.sale.rep.wizard","create_date","Created on","datetime",""
"product_qty_sold_and_qty_sales_rep_exel_report","product.sale.rep.wizard","create_uid","Created by","many2one","res.users"
"product_qty_sold_and_qty_sales_rep_exel_report","product.sale.rep.wizard","crm_sale_rep_ids","Sales Rep","many2many","crm.sale.rep"
"product_qty_sold_and_qty_sales_rep_exel_report","product.sale.rep.wizard","date_from","Date from","date",""
"product_qty_sold_and_qty_sales_rep_exel_report","product.sale.rep.wizard","date_to","Date To","date",""
"product_qty_sold_and_qty_sales_rep_exel_report","product.sale.rep.wizard","display_name","Display Name","char",""
"product_qty_sold_and_qty_sales_rep_exel_report","product.sale.rep.wizard","excel_file","Dowload report Excel","binary",""
"product_qty_sold_and_qty_sales_rep_exel_report","product.sale.rep.wizard","file_name","Excel File","char",""
"product_qty_sold_and_qty_sales_rep_exel_report","product.sale.rep.wizard","id","ID","integer",""
"product_qty_sold_and_qty_sales_rep_exel_report","product.sale.rep.wizard","write_date","Last Updated on","datetime",""
"product_qty_sold_and_qty_sales_rep_exel_report","product.sale.rep.wizard","write_uid","Last Updated by","many2one","res.users"
"product_qty_sold_and_qty_sales_rep_exel_report","report.excel","__last_update","Last Modified on","datetime",""
"product_qty_sold_and_qty_sales_rep_exel_report","report.excel","create_date","Created on","datetime",""
"product_qty_sold_and_qty_sales_rep_exel_report","report.excel","create_uid","Created by","many2one","res.users"
"product_qty_sold_and_qty_sales_rep_exel_report","report.excel","display_name","Display Name","char",""
"product_qty_sold_and_qty_sales_rep_exel_report","report.excel","excel_file","Dowload report Excel","binary",""
"product_qty_sold_and_qty_sales_rep_exel_report","report.excel","file_name","Excel File","char",""
"product_qty_sold_and_qty_sales_rep_exel_report","report.excel","id","ID","integer",""
"product_qty_sold_and_qty_sales_rep_exel_report","report.excel","write_date","Last Updated on","datetime",""
"product_qty_sold_and_qty_sales_rep_exel_report","report.excel","write_uid","Last Updated by","many2one","res.users"
"quotations_branches","quotations.branches","note","Note","text",""
"sale_enterprise","sale.report","days_to_confirm","Days To Confirm","float",""
"sale_enterprise","sale.report","invoice_status","Invoice Status","char",""
"sale_invoice_tax_view","account.invoice","tax_t1","VAT14%","float",""
"sale_invoice_tax_view","account.invoice","tax_t2","VAT1%","float",""
"sale_invoice_tax_view","account.invoice","tax_t3","VAT3%","float",""
"sale_invoice_tax_view","account.invoice","tax_t5","VAT5%","float",""
"sale_invoice_tax_view","account.invoice","total","Total","float",""
"sale_invoice_tax_view","sale.order","tax_t1","VAT14%","float",""
"sale_invoice_tax_view","sale.order","tax_t2","VAT1%","float",""
"sale_invoice_tax_view","sale.order","tax_t3","VAT3%","float",""
"serial_num","stock.picking","lot_id","Lot/Serial Number","many2one","stock.production.lot"
"stock_account_enterprise","stock.report","stock_value","Total Valuation of Inventory","float",""
"stock_account_enterprise","stock.report","valuation","Valuation of Inventory using a Domain","float",""
"tradeline_account_analytic_invoice_default","account.bank.statement.import.journal.creation","is_tradeline","Is Tradeline","boolean",""
"tradeline_account_analytic_invoice_default","account.bank.statement.import.journal.creation","is_xprs","Is Xprs","boolean",""
"tradeline_account_analytic_invoice_default","account.journal","is_tradeline","Is Tradeline","boolean",""
"tradeline_account_analytic_invoice_default","account.journal","is_xprs","Is Xprs","boolean",""
"tradeline_additional_e_invoice_code","account.invoice","is_souq","For Souq","boolean",""
"tradeline_additional_e_invoice_code","account.invoice.line","additional_code","Additional E-Invoice Code","char",""
"tradeline_additional_e_invoice_code","product.product","additional_code","Additional E-Invoice Code","char",""
"tradeline_additional_e_invoice_code","product.product","additional_vendor_code","Additional Vendor E-Invoice Code","char",""
"tradeline_additional_e_invoice_code","product.template","additional_code","Additional E-Invoice Code","char",""
"tradeline_additional_e_invoice_code","product.template","additional_vendor_code","Additional Vendor E-Invoice Code","char",""
"tradeline_additional_e_invoice_code","res.partner","e_invoice_code","Vendor E-Invoice Code","char",""
"tradeline_additional_e_invoice_code","res.users","e_invoice_code","Vendor E-Invoice Code","char",""
"tradeline_additional_e_invoice_code","sale.order","is_souq","For Souq","boolean",""
"tradeline_apple_report","stock.quant","categ_product","Category","char",""
"tradeline_apple_report","stock.quant","family_product","Family","char",""
"tradeline_apple_report","stock.quant","item_code_product","Item Code","char",""
"tradeline_apple_report","stock.quant","last_unit_vat","Last Cost","float",""
"tradeline_apple_report","stock.quant","unit_cost_without_vat","Unit Cost Without Vat","float",""
"tradeline_apple_report","stock.quant","usage","Location Type","selection",""
"tradeline_apple_report","stock.quant","vendor_name_product","Vendor","char",""
"tradeline_apple_sales_exel","account.invoice.line.wizard","__last_update","Last Modified on","datetime",""
"tradeline_apple_sales_exel","account.invoice.line.wizard","categ_id","category","many2one","product.category"
"tradeline_apple_sales_exel","account.invoice.line.wizard","create_date","Created on","datetime",""
