"module","model","name","field_description","ttype","relation"
"Tradeline_Notes_Product","account.invoice","Product_Notes","Product Notes","char",""
"Tradeline_Notes_Product","product.product","Product_Notes","Product Notes","char",""
"Tradeline_Notes_Product","product.template","Product_Notes","Product Notes","char",""
"access_restriction_by_ip","log.table","serial_number","Serial Number","char",""
"check_management","account.bank.statement.import.journal.creation","is_notes_receivable","Is Notes Receivable","boolean",""
"check_management","account.bank.statement.import.journal.creation","notes_payable","Notes Payable","many2one","account.account"
"check_management","account.journal","is_notes_receivable","Is Notes Receivable","boolean",""
"check_management","account.journal","notes_payable","Notes Payable","many2one","account.account"
"check_management","account.payment","refund_notes_date","Refund Under Collection Date","date",""
"eg_eta_receipt","res.users","deviceSerialNumber","Deviceserialnumber","char",""
"globalteckz_shopify","res.partner","gt_customer_note","Note","text",""
"globalteckz_shopify","res.users","gt_customer_note","Note","text",""
"pos_check","account.bank.statement.line","mobile_serial","Mobile Serial","char",""
"pos_check","pos.make.payment","mobile_serial","Mobile Serial","char",""
"quotations_branches","quotations.branches","note","Note","text",""
"serial_num","stock.picking","lot_id","Lot/Serial Number","many2one","stock.production.lot"
"tradeline_branch","account.invoice","notes_pos","Notes Pos","text",""
"tradeline_branch","account.invoice","print_notes","Notes","text",""
"tradeline_custom_cc_group","res.partner","comment","Notes","text",""
"tradeline_custom_cc_group","res.users","comment","Notes","text",""
"tradeline_edit_invoice_line_report","account.invoice.line","note_invoice","Notes","text",""
"tradeline_edit_invoice_line_report","account.invoice.line","serial_items","Serial Items","text",""
"tradeline_import_update_serial","update.product.serial.wizard","__last_update","Last Modified on","datetime",""
"tradeline_import_update_serial","update.product.serial.wizard","adjust_name","Adjust Name","char",""
"tradeline_import_update_serial","update.product.serial.wizard","create_date","Created on","datetime",""
"tradeline_import_update_serial","update.product.serial.wizard","create_uid","Created by","many2one","res.users"
"tradeline_import_update_serial","update.product.serial.wizard","display_name","Display Name","char",""
"tradeline_import_update_serial","update.product.serial.wizard","id","ID","integer",""
"tradeline_import_update_serial","update.product.serial.wizard","serial_exel_Sheet","Product Serial Excel Sheet","binary",""
"tradeline_import_update_serial","update.product.serial.wizard","stock","Stock","many2one","stock.location"
"tradeline_import_update_serial","update.product.serial.wizard","write_date","Last Updated on","datetime",""
"tradeline_import_update_serial","update.product.serial.wizard","write_uid","Last Updated by","many2one","res.users"
"tradeline_import_update_serial_name","update.serial.name.wizard","__last_update","Last Modified on","datetime",""
"tradeline_import_update_serial_name","update.serial.name.wizard","create_date","Created on","datetime",""
"tradeline_import_update_serial_name","update.serial.name.wizard","create_uid","Created by","many2one","res.users"
"tradeline_import_update_serial_name","update.serial.name.wizard","display_name","Display Name","char",""
"tradeline_import_update_serial_name","update.serial.name.wizard","id","ID","integer",""
"tradeline_import_update_serial_name","update.serial.name.wizard","serial_exel_Sheet","Serial Excel Sheet","binary",""
"tradeline_import_update_serial_name","update.serial.name.wizard","write_date","Last Updated on","datetime",""
"tradeline_import_update_serial_name","update.serial.name.wizard","write_uid","Last Updated by","many2one","res.users"
"tradeline_item_code_lot","stock.production.lot","item_code","Item Code Search","char",""
"tradeline_lot_reports","lot.reports.wizard","__last_update","Last Modified on","datetime",""
"tradeline_lot_reports","lot.reports.wizard","create_date","Created on","datetime",""
"tradeline_lot_reports","lot.reports.wizard","create_uid","Created by","many2one","res.users"
"tradeline_lot_reports","lot.reports.wizard","display_name","Display Name","char",""
"tradeline_lot_reports","lot.reports.wizard","excel_file","Dowload report Excel","binary",""
"tradeline_lot_reports","lot.reports.wizard","file_name","Excel File","char",""
"tradeline_lot_reports","lot.reports.wizard","id","ID","integer",""
"tradeline_lot_reports","lot.reports.wizard","product_id","Product","many2one","product.product"
"tradeline_lot_reports","lot.reports.wizard","write_date","Last Updated on","datetime",""
"tradeline_lot_reports","lot.reports.wizard","write_uid","Last Updated by","many2one","res.users"
"tradeline_lot_reports","report.excel","__last_update","Last Modified on","datetime",""
"tradeline_lot_reports","report.excel","create_date","Created on","datetime",""
"tradeline_lot_reports","report.excel","create_uid","Created by","many2one","res.users"
"tradeline_lot_reports","report.excel","display_name","Display Name","char",""
"tradeline_lot_reports","report.excel","excel_file","Dowload report Excel","binary",""
"tradeline_lot_reports","report.excel","file_name","Excel File","char",""
"tradeline_lot_reports","report.excel","id","ID","integer",""
"tradeline_lot_reports","report.excel","write_date","Last Updated on","datetime",""
"tradeline_lot_reports","report.excel","write_uid","Last Updated by","many2one","res.users"
"tradeline_lot_reports","stock.production.lot","qty_done","Qty Done","float",""
"tradeline_lot_serial_purchase","stock.production.lot","check_purchase_sec","Check_type","boolean",""
"tradeline_new_invoice_report","res.company","sale_note_en","Default Terms and Conditions","text",""
"tradeline_note_sale_order_invoice","account.invoice","print_notes","Notes","text",""
"tradeline_note_sale_order_invoice","sale.order","note_new","Note","text",""
"tradeline_note_sale_order_invoice","sale.order.line","note_new","Note","text",""
"tradeline_product_category_lot","stock.production.lot","categ_id","Product Category","many2one","product.category"
"tradeline_report_stock_serial","stock.move","barcode","Item Code","char",""
"tradeline_report_stock_serial","stock.move.line","barcode","Item Code","char",""
"tradeline_stock_scrap_custom","request.scrap.wizard","note","Note","text",""
"tradeline_stock_scrap_custom","scrap.line","lot_id","Lot & Serial","many2one","stock.production.lot"
"tradeline_transfer_customization","stock.move","note","Notes","text",""
"tradeline_transfer_customization","stock.picking","note","Notes","text",""
"tradeline_transfer_customization","stock.picking","serial_exel_Sheet","Serial Exel Sheet","binary",""
"tradeline_transfer_customization","stock.return.picking.line","lot_id","Lot/Serial Number","many2one","stock.production.lot"
"tradeline_upload_expire_voucher_serial_excel","expired.voucher.serial","__last_update","Last Modified on","datetime",""
"tradeline_upload_expire_voucher_serial_excel","expired.voucher.serial","create_date","Created on","datetime",""
"tradeline_upload_expire_voucher_serial_excel","expired.voucher.serial","create_uid","Created by","many2one","res.users"
"tradeline_upload_expire_voucher_serial_excel","expired.voucher.serial","display_name","Display Name","char",""
"tradeline_upload_expire_voucher_serial_excel","expired.voucher.serial","expired_voucher_serial_Sheet","Upload Expired Voucher Serial Excel Sheet","binary",""
"tradeline_upload_expire_voucher_serial_excel","expired.voucher.serial","id","ID","integer",""
"tradeline_upload_expire_voucher_serial_excel","expired.voucher.serial","write_date","Last Updated on","datetime",""
"tradeline_upload_expire_voucher_serial_excel","expired.voucher.serial","write_uid","Last Updated by","many2one","res.users"
"tradeline_upload_product_serail_adjust","stock.inventory","product_exel_Sheet","Upload Product serial Excel Sheet","binary",""
